CLASSIFICAÇAO,SUBCLASSIFICACAO,LUGAR,LINK,REGIÃO,AVALIAÇAO DA ISA,CUPOM DESCONTO,,ENDEREÇO,ENDEREÇO 2
Restaurantes,Hamburgueria,Alexandria,https://www.instagram.com/reel/DLK5r8xMxsU/?igsh=NGxvaDJidW14NXh1,Blumenau-SC,É ótimo pra experimentar vários sabores de hambúrguer e comer à vontade!,Não,,https://maps.app.goo.gl/p8ifE91UjfSCqonL7,
Restaurantes,Esfirraria,Empório Ames Esfiharia,https://www.instagram.com/reel/DNROEc-S-Rw/?igsh=MW1vNzJ0dThyb2J2dg==,Blumenau-SC,"Comemorei meu aniversário lá, eu super indico! AMOOO!",Não,,https://maps.app.goo.gl/24MxZABnftZo9Wg19,
Restaurantes,Hamburgueria,Hope Burger Pizza,https://www.instagram.com/reel/DTJMoqEj-km/?igsh=MTY0cDlmem1iZTMzYg==,Blumenau-SC,Hambúrgueres e pizzas excelentes e com entrega rápida!,Não,,Hamburgueria - https://maps.app.goo.gl/a3qVAdNWD9KVWmwb7,Pizzaria - https://maps.app.goo.gl/u6CmMEy4nADBRDFD7
Restaurantes,Padaria congelada,Bread King,https://www.instagram.com/reel/DHJM_fqRmyj/?igsh=MWMzdzQ3OXgzcGRzbg==,Blumenau-SC,"Opção super prática pra ter uma padaria em casa, 10/10.",Não,,https://maps.app.goo.gl/segwyNLNdydHDDgY8,
Restaurantes,Hamburgueria,Rota 377,https://www.instagram.com/reel/DHb3inxSYsr/?igsh=bzg0N25veDYzN3No,Blumenau-SC,"Eu amei a estética vintage do lugar, e a comida é maravilhosa!",Não,,https://maps.app.goo.gl/pCnC3LMzM9sR6btA9,
Restaurantes,Gelateria,Gelato Borelli,https://www.instagram.com/reel/DHi85rbJYrB/?igsh=aXMxcjA1cGFwcnEy,Blumenau-SC,Simplesmente provem! Surreal de bom.,Não,,https://maps.app.goo.gl/6tRy8wiCATAmVM7y8,
Restaurantes,Cafeteria,Bari Caffe,https://www.instagram.com/reel/DMgTRV6SVJq/?igsh=MWI5N3pzaHB6czV0,Jaraguá-SC,"Pensa numa cafeteria fofa! Toda cor de rosa, tudo muito lindo!",Não,,https://maps.app.goo.gl/MhTEvdaxWDrvJvbc8,
Restaurantes,Hamburgueria,Arena Dog Burger,https://www.instagram.com/reel/DI7CSpmSAJO/?igsh=MTBnMjdteGxud2tiZg==,Blumenau-SC,"Hambúrgueres muito saborosos, e a estética deles é linda!",Não,,https://maps.app.goo.gl/4v2wEUf41fZXVFw96,
Restaurantes,Pastelaria,King Pastelaria,https://www.instagram.com/reel/DK5T8lcShDy/?igsh=am54OGlzd3d1MGs4,Blumenau-SC,"Provem e tirem suas conclusões, eu amei!",5% OFF,ISABEL5,https://maps.app.goo.gl/dxy4Nw73ycnmUPxs6,
Restaurantes,Empadas,Empadaria do Reino,https://www.instagram.com/reel/DL-5AiGSzw4/?igsh=MTdoY2R0cHN6cWduMQ==,Blumenau-SC,"Tudo muito saboroso, dá pra ver que é feito com muito carinho.",5% OFF nas empadas e 10% OFF nos empadões,Mostrar que é meu seguidor(a),Somente delivery,
Cafés e docerias,Bolos e doces,Rose Kemer,https://www.instagram.com/reel/DMLuef2S2kj/?igsh=dGwwMDN4ampvbHN0,Blumenau-SC,Doces muito saborosos e caprichados!,5% OFF,ISA5,Somente delivery,
Restaurantes,Hotdog,Senhor Salsicha,https://www.instagram.com/reel/DM3dfimSD8R/?igsh=MTdvbXdpeHR3dndweA==,Blumenau-SC,"Comida muito boa, bem temperadinha!",5% OFF,ISABEL05,https://maps.app.goo.gl/aYPCwEFfugaXZ7by8,
Restaurantes,Hamburgueria,Lu e Ale HG,https://www.instagram.com/reel/DNjSriYS2O0/?igsh=MTN1b2prMnNtdW1waw==,Blumenau-SC,"Eu amei a ideia de um kit de hambúrgueres pra fazer em casa, genial!",Não,,https://maps.app.goo.gl/Z6vZkrFPkAoL6ayi6,
Cafés e docerias,Cafeteria,Cafehaus,https://www.instagram.com/reel/DOb5Amwj0z7/?igsh=MTgybWNuOThrZHl3Mw==,Blumenau-SC,"Zero defeitos, sou apaixonada na torta glória invertida e na torta de maracujá!",Não,,Humberto de campos - https://maps.app.goo.gl/RSMYnWYu6sjhLFCG7,Centro - https://maps.app.goo.gl/koVi61F11PaQPHf69
Restaurantes,Restaurante germânico,Norden,https://www.instagram.com/reel/DOb5Amwj0z7/?igsh=MTgybWNuOThrZHl3Mw==,Blumenau-SC,Ambiente super temático com pratos super bem servidos!,Não,,https://maps.app.goo.gl/yZ9kFYiAC9F371r19,
Restaurantes,Restaurante germânico,Alemão Batata,https://www.instagram.com/reel/DOb5Amwj0z7/?igsh=MTgybWNuOThrZHl3Mw==,Blumenau-SC,Eu AMO a batata recheada e o Schnitzel deles!,Não,,https://maps.app.goo.gl/TQAsxvYymMGZnw7o8,
Cafés e docerias,Bolos e doces,Fatias Nobre,https://www.instagram.com/reel/DOhCHHYD1We/?igsh=MXV2cDIwN2QwM2NqMg==,Blumenau-SC,"Delivery de fatias de bolo, bem gostosas!",Não,,https://maps.app.goo.gl/owfWZvJU8CMJ8NbX6,
Restaurantes,Restaurante,Delícia do Vale,https://www.instagram.com/reel/DOmNd6dj8Il/?igsh=MTdkNXNhZGI0anFtaA==,Blumenau-SC,"Buffet que vale muito a pena, com muitas opções gostosas!",Não,,https://maps.app.goo.gl/82JNZ63ayVkuDzqz5,
Cafés e docerias,Cookies,Cookie Pink,https://www.instagram.com/reel/DSQlbWfDz5b/?igsh=anhjbTZ5bXgyejBn,Blumenau-SC,"O lugar é MUITO fofo, e os cookies são todos uma delícia!",Não,,https://maps.app.goo.gl/PFnWqKBzmqn6WAYEA,
Restaurantes,Hamburgueria,Smash In Box,https://www.instagram.com/reel/DUDvirWke4G/?igsh=Nm13eWRjNGxzb2dh,Blumenau-SC,"Hambúrgueres bem temperados, e a ideia de vir uma BISNAGA de maionese me conquistou!",Não,,https://maps.app.goo.gl/UaNURh1jGMk58uyP8,
Restaurantes,Bar e restaurante,Struck Bier,https://www.instagram.com/reel/DUY-7erj2hv/?igsh=MXN3d3d6ZnRkbmE5Nw==,Blumenau-SC,A ideia do rodízio de boteco é muito legal e tu ainda consegue comprar chope por ml!,Não,,https://maps.app.goo.gl/6G6rwJ3AQQP39nux9,
Cafés e docerias,Donuts,Donuts Com Amor,https://www.instagram.com/reel/DUwKV2BDzfq/?igsh=anR6ZXprb2R4bGNr,Blumenau-SC,"Estética super meiga e imersiva, os donuts têm sabores bem diferentes e são deliciosos!",Não,,https://maps.app.goo.gl/Se58yDCw9VRvgAWF9,
Restaurantes,Restaurante coreano,Bapjin,https://www.instagram.com/reel/DUeI5trD5zT/?igsh=MW40Mm54bzJjcmhjYg==,Blumenau-SC,"Comida saborosa, lugar aconchegante e atendimento 1000/10! ",Não,,https://maps.app.goo.gl/o8RUyTC9jhthPnDb6,
Restaurantes,Restaurante mexicano,Nachoman,https://www.instagram.com/reel/DVMfQGMj3Q2/?igsh=MWZoN3R2NmdidnN1Mw==,Blumenau-SC,"Eu adoro que lá é tudo colorido, e a comida é perfeita!",Não,,https://maps.app.goo.gl/DfTWu7g2JfXa4K6a7,
Lazer,Aluguel de jogos,Reviravolta jogos,https://www.instagram.com/reel/DHwdmrtyZVo/?igsh=MXVwaHE5MzExcWhtbQ==,Blumenau-SC,Vários jogos super legais pra alugar ou jogar lá mesmo!,Não,,https://maps.app.goo.gl/6jDwUSDxDQ2xxjbe7,
Lazer,Passeios,Tour Nugali,https://www.instagram.com/reel/DLdevm7yNM_/?igsh=ODN3NWZlaWl4M3o1,Pomerode-SC,"Passeio breve, mas muito legal! E a melhor parte é provar os chocolates, né?!",Não,,https://maps.app.goo.gl/LQo8jTEdLgugYCej9,
Lazer,Passeios,Candlelight,https://www.instagram.com/reel/DU_mdJ7j6WX/?igsh=ZTUyeG9teGc1MGVp,n/a,"É uma experiência bem imersiva, à luz de velas, que quero ir novamente!",Não,,https://maps.app.goo.gl/6Wzux2zzAuWn2jt86,
Lojas,Maquiagens e cosméticos,Kimakes,https://www.instagram.com/reel/DNG5lNfy68D/?igsh=cWQyd3B5Nmx4dTIy,Blumenau-SC,"Loja linda e super completa, com diversas marcas!",10% OFF,ISABEL10,https://maps.app.goo.gl/kyuD8kjensETBVLm8,
Lojas,Sousplats,Souplast GO,https://www.instagram.com/reel/DH_9LmVSXMG/?igsh=MW1oN2ozcTlyYjUzZA==,Goiania-GO,"Eu amei a qualidade, e ela faz qualquer modelo que tu enviar!",5% OFF,Mostrar que é meu seguidor(a),Somente entrega,
Lojas,Brechó,Brechó Trésor By Saia de Filó,https://www.instagram.com/reel/DJ-F83gS1dl/?igsh=MXZndzNlNnhwdWRyeg==,Blumenau-SC,Lá você encontra várias peças lindas e também artigos de luxo!,Não,,https://maps.app.goo.gl/3FPJFMVNBeTueNnL6,
Lojas,Velas aromáticas,Zen Pra Caralh*,https://www.instagram.com/reel/DOMY5WqD0pS/?igsh=MTR0ajFzcTljNHYycw==,Blumenau-SC,Velas super cheirosas e muito criativas!,Não,,https://maps.app.goo.gl/55L6dsNP7FnFxuXd6,
Lojas,Shopping,Neumarkt Shopping,https://www.instagram.com/reel/DRqBvtODwE5/?igsh=MWRjZTJ1dzduY2tsNw==,Blumenau-SC,"Um lugar pra passar o tempo sem perceber, com muitas lojas e restaurantes de qualidade!",Não,,https://maps.app.goo.gl/Ypz8bCv6VbnvkhD98,
Prestadores de serviço,Dentista,Guilherme Nicoletti,https://www.instagram.com/reel/DLs0UbiyYeT/?igsh=MXR1YTBuOTlvOXpyZw==,Blumenau-SC,Super atencioso e muito detalhista! ,10% OFF,Mostrar que é meu seguidor(a),https://maps.app.goo.gl/uzM2zQuXzFbt6KMh9,
Prestadores de serviço,Lash Designer,Clarisse,https://www.instagram.com/reel/DPjeX0hDrkf/?igsh=eHhtaHUzY3BlcDc4,Blumenau-SC,Muito caprichosa e é uma fofa comigo!,10% OFF,Mostrar que é meu seguidor(a),https://maps.app.goo.gl/kyuD8kjensETBVLm8,
Prestadores de serviço,Nail Designer,Mariele,https://www.instagram.com/p/DTbPwe9DzdC/?igsh=djVrdGU0eGZzNHZv,Blumenau-SC,Super gente boa e faz um trabalho de milhões!,Não,,https://maps.app.goo.gl/D9M61ZUjB5UTfYXV8,
Prestadores de serviço,"Sobrancelhas, pele e boca",Lu Kempner Beauty,https://www.instagram.com/reel/DMi2OZaSsHB/?igsh=Ymlxb3Nkdnp4b2N1,Blumenau-SC,Amo que ela é super criativa e entrega um trabalho impecável!,10% OFF NO PIX/DINHEIRO,Mostrar que é meu seguidor(a),https://maps.app.goo.gl/D9M61ZUjB5UTfYXV8,
Prestadores de serviço,Maquiagem e penteado,Milena Bett,https://www.instagram.com/reel/DM_MQf4SqMc/?igsh=cTd2ZHJkbGdhMXhk,Blumenau-SC,Muito querida e sempre entrega makes e penteados lindíssimos!,5% OFF,Mostrar que é meu seguidor(a),https://maps.app.goo.gl/VhULo4R7v3Eke6Dv5,
Prestadores de serviço,Maquiagem e penteado,Gisa Martins,https://www.instagram.com/reel/DQE1dm5EaR9/?igsh=Y3BhbHIwZTB4dGph,Blumenau-SC,"Sabe ressaltar a beleza de forma natural, mãos de fada!",Não,,https://maps.app.goo.gl/kfeBcHbdB8bhmB5x7,
Prestadores de serviço,Arquitetura,TAAS Arquitetura,https://www.instagram.com/reel/DPXMairjwMf/?igsh=MXd3YjdudTQ0ZGNoeA==,Blumenau-SC,"Super atenciosas, detalhistas e entregam tudo MUITO LINDO!",Não,,https://maps.app.goo.gl/WzFbSj8y7GfNb2Fr6,
Prestadores de serviço,Fotografia,Genuína Fotografia,https://www.instagram.com/reel/DSnuCPaj6xp/?igsh=bjZzeTU1ZjlyNmls,Blumenau-SC,Uma fofaaa! Me deixa super confortável e entrega fotos lindas!,Não,,Somente via Instagram/Whatsapp,